Agency,Competent,Reliable,Ethical,Sincere,Benevolent,Warmth,Dominance
IRS,4.87097,4.18548,3.82258,3.81667,2.38596,-40.494623655913976,63.13978494623656
Treas,4.625,4.2625,3.68908,3.34454,2.70175,-27.298319327731093,42.602240896358545
DOJ,4.65385,3.94017,3.79915,3.37607,2.94348,-26.732193732193736,55.08119658119658
BPR,4.24167,4.03333,3.8375,3.55417,3.10084,-28.046143250688708,49.34159779614325
TSA,4.09322,4.11864,3.92241,3.56034,3.17797,-30.52777777777778,46.99444444444444
DOD,5.5,4.69583,3.94167,3.625,3.22083,-26.90347222222222,67.35
FBI,5.58065,4.59677,4.20968,3.78226,3.2459,-31.822580645161292,59.58333333333333
CBP,4.69421,4.45041,4.20588,4.05042,3.62083,-18.577185792349727,44.37568306010929
SocSecurity,4.58607,4.39754,4.52066,4.24793,3.90833,-12.76490514905149,38.96341463414634
CISA,5.46721,4.70902,4.67213,4.10833,3.92672,-19.56693989071038,55.48360655737705
Ded,4.29339,4.22314,4.12917,3.84298,3.9322,-5.370833333333334,30.65
LaborDept,4.39024,4.4187,4.56098,4.12195,4.0,-6.432249322493225,32.82113821138211
Census,5.19492,5.2839,4.9181,4.87826,4.07143,-0.07344632768361592,36.61440677966102
FDA,5.22314,4.79752,4.59504,4.35,4.13248,-8.921487603305785,52.09504132231405
CDC,5.38983,4.82203,4.76724,4.4322,4.35593,-1.774011299435028,36.34180790960452
FAA,5.75,5.46721,5.2314,4.775,4.41379,-1.112021857923497,50.2103825136612
Lib,5.59483,5.12931,4.90351,4.63793,4.46491,15.672413793103448,32.52298850574712
Amtrak,5.12397,5.33197,4.73504,4.5819,4.52193,16.255464480874316,32.28415300546448
FairHousing,4.2314,4.06612,4.93802,4.50413,4.62917,11.296831955922864,24.15840220385675
FEMA,4.8,4.7125,4.86555,4.49583,4.8,18.680555555555554,39.079166666666666
NASA,6.12705,5.09016,5.36475,4.90984,4.83051,10.48360655737705,46.78415300546448
NSF,5.69262,5.0935,5.15447,5.05285,4.83333,13.486449864498645,43.91056910569106
EPA,4.92149,4.69835,5.02869,4.7686,4.84426,13.851775956284154,33.85245901639344
USPS,5.52419,5.66129,5.37903,5.08929,5.05172,25.317204301075268,38.586021505376344
NEA,5.1,4.9125,5.24167,5.1625,5.1375,32.82282913165266,29.352777777777778
Zoo,5.41597,5.0042,5.07917,4.93333,5.15833,38.46597222222223,34.419444444444444
Mus,6.23109,5.725,5.53361,5.47059,5.22222,32.735537190082646,44.43250688705234