Game,Genre,Graphics,Gameplay,Story,Audio,Performance,Replayability,Value
Cybernetic Dawn,RPG,6.06,8.04,4.57,7.57,9.41,9.45,9.89
Wasteland Runners,Action,7.36,8.04,7.57,6.68,9.25,8.44,7.56
Kingdoms of Eldoria,RPG,7.75,8.74,6.19,7.96,7.32,8.85,7.46
Pixel Puzzler,Puzzle,5.2,6.06,6.07,5.92,8.52,4.51,9.57
Quick Dash,Platformer,9.23,8.86,4.44,5.5,9.39,4.45,8.35
Colorflow,Puzzle,7.85,8.22,7.96,5.37,8.06,3.02,8.43
Starship Echoes,Sci-Fi,6.48,8.38,8.4,5.08,8.24,5.24,7.1
Void Drifter,Sci-Fi,5.52,9.94,8.4,7.47,7.06,5.92,8.63
Orion's Belt,Sci-Fi,5.13,6.05,7.6,5.3,8.27,4.3,6.38
Mystic Forest,Adventure,8.06,7.92,7.74,7.88,7.98,3.18,6.91
Chrono Weaver,RPG,9.4,9.91,6.68,8.94,9.75,7.3,9.62
Shadow Peak,Adventure,6.13,6.01,5.22,6.85,9.39,5.41,6.7